date,open,high,low,close,volume
2025-12-29T14:25:00.000000000,967.05,968.0,967.05,967.65,212498.0
2025-12-29T14:30:00.000000000,967.5,967.7,966.75,966.9,110250.0
2025-12-29T14:35:00.000000000,966.85,967.05,965.9,966.5,112814.0
2025-12-29T14:40:00.000000000,966.5,967.2,966.4,966.75,160269.0
2025-12-29T14:45:00.000000000,967.0,967.0,966.4,966.75,102582.0
2025-12-29T14:50:00.000000000,966.9,967.0,965.0,965.2,258613.0
2025-12-29T14:55:00.000000000,965.25,965.5,964.8,965.0,265455.0
2025-12-29T15:00:00.000000000,965.0,965.3,964.0,964.05,140252.0
2025-12-29T15:05:00.000000000,964.0,964.7,963.85,964.35,98824.0
2025-12-29T15:10:00.000000000,964.3,965.1,964.3,964.9,85934.0
2025-12-29T15:15:00.000000000,964.9,965.65,964.8,965.35,98745.0
2025-12-29T15:20:00.000000000,965.1,966.0,965.0,965.65,109541.0
2025-12-29T15:25:00.000000000,965.5,966.1,965.0,965.7,206314.0
2025-12-30T09:15:00.000000000,963.0,964.75,960.5,961.5,145284.0
2025-12-30T09:20:00.000000000,961.4,961.5,960.2,960.9,74442.0
2025-12-30T09:25:00.000000000,960.9,960.95,960.25,960.65,53866.0
2025-12-30T09:30:00.000000000,960.55,961.65,959.5,961.65,109630.0
2025-12-30T09:35:00.000000000,961.5,962.9,961.45,962.85,44403.0
2025-12-30T09:40:00.000000000,962.85,962.85,962.05,962.65,46298.0
2025-12-30T09:45:00.000000000,962.7,962.9,962.05,962.2,21522.0
2025-12-30T09:50:00.000000000,962.2,963.25,961.9,962.8,64489.0
2025-12-30T09:55:00.000000000,962.75,963.6,962.7,963.25,45664.0
2025-12-30T10:00:00.000000000,963.35,965.55,963.25,965.2,102221.0
2025-12-30T10:05:00.000000000,965.25,966.3,964.65,965.95,140695.0
2025-12-30T10:10:00.000000000,965.9,967.2,965.55,967.05,72228.0
2025-12-30T10:15:00.000000000,967.0,967.9,967.0,967.55,74558.0
2025-12-30T10:20:00.000000000,967.6,968.9,967.5,968.4,107055.0
2025-12-30T10:25:00.000000000,968.45,968.7,968.1,968.65,54033.0
2025-12-30T10:30:00.000000000,968.7,970.0,968.6,969.45,123332.0
2025-12-30T10:35:00.000000000,969.45,969.45,968.1,968.5,65537.0
2025-12-30T10:40:00.000000000,968.4,968.8,968.4,968.55,50893.0
2025-12-30T10:45:00.000000000,968.55,969.2,968.1,969.2,56968.0
2025-12-30T10:50:00.000000000,969.15,969.75,967.55,967.8,224435.0
2025-12-30T10:55:00.000000000,967.8,967.85,967.15,967.25,82285.0
2025-12-30T11:00:00.000000000,967.0,967.6,966.85,967.5,74983.0
2025-12-30T11:05:00.000000000,967.55,967.95,967.25,967.6,51673.0
2025-12-30T11:10:00.000000000,967.6,968.05,966.65,968.0,191141.0
2025-12-30T11:15:00.000000000,968.0,969.6,967.9,969.55,117132.0
2025-12-30T11:20:00.000000000,969.55,971.2,969.4,971.15,178242.0
2025-12-30T11:25:00.000000000,971.15,972.1,971.0,971.5,205482.0
2025-12-30T11:30:00.000000000,971.5,971.5,969.65,970.15,62686.0
2025-12-30T11:35:00.000000000,970.15,970.5,969.7,970.0,45300.0
2025-12-30T11:40:00.000000000,970.3,971.8,969.95,970.95,57829.0
2025-12-30T11:45:00.000000000,971.3,971.75,970.75,971.25,45967.0
2025-12-30T11:50:00.000000000,971.35,971.35,969.75,969.95,49788.0
2025-12-30T11:55:00.000000000,969.95,970.15,969.6,970.1,43040.0
2025-12-30T12:00:00.000000000,970.45,970.75,970.0,970.4,88684.0
2025-12-30T12:05:00.000000000,970.4,970.4,969.35,969.85,65266.0
2025-12-30T12:10:00.000000000,969.85,970.05,968.8,969.0,91986.0
2025-12-30T12:15:00.000000000,969.05,969.6,968.95,969.45,43682.0
2025-12-30T12:20:00.000000000,969.55,969.6,969.15,969.4,36586.0
2025-12-30T12:25:00.000000000,969.4,969.55,968.85,969.1,45752.0
2025-12-30T12:30:00.000000000,969.2,969.85,969.15,969.35,46212.0
2025-12-30T12:35:00.000000000,969.3,970.6,969.0,970.55,82983.0
2025-12-30T12:40:00.000000000,970.55,970.7,969.95,970.35,69321.0
2025-12-30T12:45:00.000000000,970.4,970.7,970.0,970.7,65753.0
2025-12-30T12:50:00.000000000,970.75,971.0,969.85,970.7,153874.0
2025-12-30T12:55:00.000000000,970.75,971.2,969.8,970.3,100343.0
2025-12-30T13:00:00.000000000,970.4,970.65,969.5,970.25,90727.0
2025-12-30T13:05:00.000000000,970.3,970.75,969.5,969.95,151253.0
2025-12-30T13:10:00.000000000,969.95,971.2,969.4,971.2,177838.0
2025-12-30T13:15:00.000000000,971.2,972.8,971.2,972.6,134782.0
2025-12-30T13:20:00.000000000,972.8,973.15,972.15,972.9,129017.0
2025-12-30T13:25:00.000000000,972.95,973.05,972.1,972.35,170669.0
2025-12-30T13:30:00.000000000,972.35,973.35,971.85,973.2,113981.0
2025-12-30T13:35:00.000000000,973.25,973.8,972.95,973.3,114495.0
2025-12-30T13:40:00.000000000,973.35,974.4,973.15,974.35,105409.0
2025-12-30T13:45:00.000000000,974.3,975.3,974.3,975.05,298085.0
2025-12-30T13:50:00.000000000,975.05,975.1,972.95,973.0,207324.0
2025-12-30T13:55:00.000000000,973.05,973.3,972.95,973.25,55074.0
2025-12-30T14:00:00.000000000,973.25,973.7,972.95,973.4,184603.0
2025-12-30T14:05:00.000000000,973.4,973.65,972.95,973.0,94441.0
2025-12-30T14:10:00.000000000,972.95,973.7,972.95,973.4,50380.0
2025-12-30T14:15:00.000000000,973.45,975.1,973.35,974.65,196374.0
2025-12-30T14:20:00.000000000,974.3,974.95,974.1,974.8,174784.0
2025-12-30T14:25:00.000000000,974.85,974.85,973.0,973.0,187524.0
2025-12-30T14:30:00.000000000,973.0,974.2,972.95,974.0,104307.0
2025-12-30T14:35:00.000000000,974.2,974.35,972.95,972.95,124225.0
2025-12-30T14:40:00.000000000,973.0,973.65,973.0,973.5,81179.0
2025-12-30T14:45:00.000000000,973.7,974.75,973.25,974.5,129054.0
2025-12-30T14:50:00.000000000,974.6,975.2,974.4,974.8,164893.0
2025-12-30T14:55:00.000000000,974.8,975.3,974.3,975.0,177218.0
2025-12-30T15:00:00.000000000,975.0,976.2,972.5,973.1,1588423.0
2025-12-30T15:05:00.000000000,972.9,973.2,972.0,972.25,1475591.0
2025-12-30T15:10:00.000000000,972.35,974.65,972.15,973.3,1472202.0
2025-12-30T15:15:00.000000000,973.3,974.0,972.9,973.6,1295207.0
2025-12-30T15:20:00.000000000,973.6,974.3,973.15,973.6,1264571.0
2025-12-30T15:25:00.000000000,973.55,974.0,971.75,973.1,717861.0
2025-12-31T09:15:00.000000000,977.5,978.9,974.0,975.65,130915.0
2025-12-31T09:20:00.000000000,975.45,976.5,975.0,975.0,59096.0
2025-12-31T09:25:00.000000000,974.75,976.5,973.5,976.25,72641.0
2025-12-31T09:30:00.000000000,975.95,976.5,974.6,976.15,44210.0
2025-12-31T09:35:00.000000000,976.15,976.15,975.15,976.05,17668.0
2025-12-31T09:40:00.000000000,975.65,976.95,975.5,975.8,27143.0
2025-12-31T09:45:00.000000000,975.8,976.9,974.65,976.1,99947.0
